State,Rate
Alabama,20.0
Alaska,16.8
Arizona,18.8
Arkansas,19.4
California,16.3
Colorado,14.7
Connecticut,17.2
Delaware,16.7
District of Columbia,19.9
Florida,14.6
Georgia,15.4
Hawaii,18.6
Idaho,13.0
Illinois,14.7
Indiana,15.2
Iowa,15.7
Kansas,13.8
Kentucky,24.0
Louisiana,21.8
Maine,13.8
Maryland,20.5
Massachusetts,13.1
Michigan,19.1
Minnesota,12.1
Mississippi,23.1
Missouri,15.5
Montana,13.1
Nebraska,13.8
Nevada,15.6
New Hampshire,13.6
New Jersey,13.8
New Mexico,23.9
New York,15.9
North Carolina,17.3
North Dakota,15.1
Ohio,16.2
Oklahoma,20.4
Oregon,14.6
Pennsylvania,15.7
Rhode Island,18.6
South Carolina,20.8
South Dakota,17.3
Tennessee,20.9
Texas,21.5
Utah,12.2
Vermont,13.0
Virginia,16.0
Washington,12.9
West Virginia,24.8
Wisconsin,17.2
Wyoming,12.9
